spl_id;ENV_spl_site;ENV_spl_location;ENV_spl_longitude;ENV_spl_latitude;depth;maerl;time;reserve;fishing_effort;TaxR;TaxE;FunR;FunE;PhyR;PhyE;BIOq;nbsp;densf
CAMAL09_49;maerl_26;canal_menorca;3.6985;39.879;77;0.5;2009;0;1;38;16.2413;5.4687;2.5061;22.5;7.423;0.991568299;1;0.00196138
CAMAL09_51;maerl_27;canal_menorca;3.756;39.9533;58;0.5;2009;0;2;42;7.3893;5.5452;2.1305;25.8333;5.0254;0.935073198;5;0.05818848
CAMAL09_55;maerl_28;canal_menorca;3.7338;39.8927;74;0.5;2009;0;1;19;11.468;4.082;2.2822;11;5.5009;0.951298701;2;0.02442622
CAMAL09_56;maerl_29;canal_menorca;3.7382;39.8667;78;0.5;2009;0;1;31;14.402;4.4587;1.9534;18.3333;5.8146;0.951162795;3;0.03254342
CAMAL09_57;maerl_30;canal_menorca;3.6353;39.8038;74;0.5;2009;0;3;38;12.1535;5.0264;1.7877;19.3333;4.52;0.970496898;3;0.07366875
CAMAL09_58;maerl_31;canal_menorca;3.635;39.7233;80;0.5;2009;0;3;37;14.0472;4.5666;2.1254;20;5.734;0.916083903;2;0.02418862
EQUIPAR_1;maerl_32;canal_menorca;3.627116667;39.69421667;76;0.5;2010;0;1;25;8.5028;5.3434;2.4623;16.8333;4.9625;0.984615384;4;0.16594278
EQUIPAR_12;maerl_35;canal_menorca;3.5886;39.78346667;64.4;0.5;2010;0;3;17;11.1279;3.4083;2.6514;10.8333;5.6481;0.787500014;1;0.00975309
EQUIPAR_13;maerl_36;canal_menorca;3.618783333;39.78506667;68.6;0.5;2010;0;2;17;6.0107;4.4493;2.8543;13;5.0098;0.974683547;1;0.00969899
EQUIPAR_18;maerl_37;canal_menorca;3.574683333;39.76678333;58.5;0.5;2010;0;3;23;19.6462;3.5517;2.8852;13;7.3544;0.85714286;2;0.26541668
EQUIPAR_22;maerl_39;canal_menorca;3.566666667;39.7477;56.8;0.5;2010;0;1;18;15.0083;4.9954;4.2073;11.6667;8.2401;0.683544322;2;0.01822739
EQUIPAR_24;maerl_39;canal_menorca;3.536666667;39.71906667;55.8;0.5;2010;0;3;23;10.2346;4.1439;3.0569;15.5;6.2988;0.869346738;1;0.02250974
EQUIPAR_27;maerl_40;canal_menorca;3.598583333;39.74633333;61.6;0.5;2010;0;2;14;5.4924;3.4768;1.8526;9.8333;3.7364;0.913385824;1;0.00862626
EQUIPAR_30;maerl_41;canal_menorca;3.668316667;39.77168333;70.6;0.5;2010;0;2;16;12.2561;4.3833;3.1325;10.1667;6.3631;0.893617041;5;0.06497793
