spl_id;ENV_spl_location;ENV_spl_time;BIO_Taxo_Ric;BIO_Taxo_Ent;BIO_Func_Ric;BIO_Func_Ent;BIO_Phyl_Ric;BIO_Phyl_Ent;BIO_qual;ES_totbiom;ES_totbiom_fished
IR_9;Ilet_a_Rats;2007_12_09;12;5.7298;2.0923;1.6463;3.6813;2.1205;1;2898.542597;987.2250608
JT_1;Jardin_Tropical;2005_07_10;20;8.9644;3.8981;2.1192;6.8304;2.4453;1;6546.477448;2015.905711
JT_10;Jardin_Tropical;2009_10_30;15;6.7606;2.8177;2.3415;4.8285;2.2366;1;3694.250652;2348.91484
JT_11;Jardin_Tropical;2010_07_17;15;11.9704;2.6569;2.5663;4.9488;2.8915;1;5596.077801;3472.738491
JT_12;Jardin_Tropical;2010_11_24;16;10.2963;3.499;3.3403;5.9201;2.8126;1;4283.682451;2106.118575
JT_13;Jardin_Tropical;2013_01_16;34;14.3808;6.4967;3.9295;11.3151;3.4104;0.960818657;9468.968625;4256.110756
JT_14;Jardin_Tropical;2013_03_22;28;14.5632;5.0836;3.7666;11.3171;3.7786;1;15146.43577;7047.057404
JT_15;Jardin_Tropical;2013_11_26;37;16.974;4.3748;3.6692;12.1831;3.4855;0.998118268;29100.06372;11022.43791
JT_16;Jardin_Tropical;2016_12_13;37;15.5889;5.148;4.2573;12.4356;3.5895;0.997502168;17289.41038;6481.174412
JT_17;Jardin_Tropical;2019_05_21;43;17.2996;6.2575;3.5964;14.0724;3.4929;0.990416719;34639.05191;10416.81795
JT_2;Jardin_Tropical;2005_11_27;16;7.4837;3.6238;2.2672;6.1654;2.2969;1;9458.716922;4961.377907
JT_3;Jardin_Tropical;2006_07_24;15;8.0554;2.7995;1.779;5.0186;2.3593;0.988227583;11109.81091;7165.795955
JT_4;Jardin_Tropical;2006_11_18;15;9.6377;2.7795;2.1264;4.375;2.2805;1;6156.682599;3289.599922
JT_5;Jardin_Tropical;2007_07_20;14;7.0809;2.5817;1.9662;4.3442;2.2909;0.89926326;7003.360044;4377.939692
JT_6;Jardin_Tropical;2007_12_16;15;10.2895;2.634;1.9736;5.1251;2.2941;0.946180658;7938.908351;4941.158261
JT_7;Jardin_Tropical;2008_07_22;17;8.3769;2.66;2.2594;5.8069;2.3274;1;8082.599933;6471.51656
JT_8;Jardin_Tropical;2008_12_05;20;11.2622;2.9783;2.1752;6.2303;2.4527;0.983659266;9099.545333;5849.287587
JT_9;Jardin_Tropical;2009_04_26;13;6.9188;2.8307;2.1354;5.0479;2.2393;1;8547.45142;6635.686233
PB_1;Pointe_Borgnesse;2001_11_24;14;7.5248;3.1465;2.0523;4.5337;2.1194;1;11397.74566;6692.627318
PB_10;Pointe_Borgnesse;2006_07_15;12;5.1526;2.8325;2.2262;4.3787;2.1275;1;11429.65399;8667.820071
PB_11;Pointe_Borgnesse;2006_12_03;12;8.0411;2.9724;1.8229;4.5951;2.1216;1;9333.668019;6393.153429
PB_12;Pointe_Borgnesse;2007_07_15;15;7.8074;2.8759;1.9993;5.0706;2.2605;1;11774.10978;7807.658772
PB_13;Pointe_Borgnesse;2007_12_08;16;8.2226;2.7153;1.8418;5.5705;2.1288;0.976789736;10965.95139;7041.242335
PB_14;Pointe_Borgnesse;2008_07_24;17;7.9241;3.466;3.0236;5.6263;2.4914;1;8893.517163;5480.124018
PB_15;Pointe_Borgnesse;2008_12_08;15;6.6245;3.4073;2.176;4.6629;2.1045;1;17161.68776;13856.60473
PB_16;Pointe_Borgnesse;2009_04_13;20;7.8775;2.8404;2.2155;5.9746;2.2204;1;15463.42397;10688.74118
PB_17;Pointe_Borgnesse;2009_11_02;15;7.7242;3.2851;2.4798;4.7279;2.2865;1;11419.94657;5679.052823
PB_18;Pointe_Borgnesse;2010_07_10;17;8.4968;3.6054;2.4785;5.9731;2.474;1;8881.062576;6235.446855
PB_19;Pointe_Borgnesse;2010_12_09;13;8.2984;2.7006;2.2022;4.0038;2.1778;1;5511.124234;3584.978677
PB_2;Pointe_Borgnesse;2002_06_19;14;6.8477;3.4473;2.7519;5.3719;2.4675;1;8392.800904;4614.899568
PB_20;Pointe_Borgnesse;2013_01_16;36;15.6757;5.7784;3.2617;11.5213;3.0811;0.97800492;12627.29483;4828.770213
PB_21;Pointe_Borgnesse;2013_03_22;33;15.0683;4.7179;3.386;9.6539;3.0979;0.99754173;19271.04213;8819.178635
PB_22;Pointe_Borgnesse;2013_11_27;40;16.1099;6.2929;3.307;13.5121;3.3252;0.975976236;39961.19381;23246.9887
PB_23;Pointe_Borgnesse;2016_12_13;35;17.0335;5.6111;3.5109;11.0284;3.2843;0.978690615;16709.16368;6702.849464
PB_24;Pointe_Borgnesse;2019_05_21;37;16.5154;5.7;3.9429;12.3555;3.5026;0.98457695;27153.12047;11505.07023
PB_3;Pointe_Borgnesse;2002_11_30;14;6.7214;3.0859;2.0391;4.6581;2.0763;0.992356367;11299.87464;7982.973039
PB_4;Pointe_Borgnesse;2003_06_29;20;8.6666;2.8058;2.1656;5.569;2.3272;1;12760.3384;8506.541578
PB_5;Pointe_Borgnesse;2003_11_23;13;6.4198;2.6767;2.1758;4.2771;1.9939;0.975787627;10512.08929;6521.051383
PB_6;Pointe_Borgnesse;2004_07_04;13;6.7383;2.7887;2.1531;4.1;2.0667;0.937662438;12702.89902;9564.38528
PB_7;Pointe_Borgnesse;2004_11_28;12;6.4234;3.4203;2.2992;4.2384;1.995;0.966706244;8580.684257;6067.469422
PB_8;Pointe_Borgnesse;2005_07_11;15;3.905;3.3455;1.4543;5.3846;1.6324;0.994233631;14978.59413;12327.96447
PB_9;Pointe_Borgnesse;2005_12_04;13;7.3589;2.6229;1.6726;4.054;1.8909;0.995128219;17729.05965;11926.83954
RD_1;Rocher_du_Diamant;2013_11_23;39;20.5797;6.8627;5.101;15.1008;4.7839;0.999031353;27465.99225;7528.937866
TB_1;Trou_Bleu;2013_11_17;42;14.1903;6.3074;2.8098;13.9993;3.0015;0.99918469;23173.26988;10326.32781
