spl_id;ENV_Site;ENV_Depth;ENV_Latitude;ENV_Longitude;ENV_Management;No-Take;ENV_Coast_type;ENV_Wave_energy;ENV_Terrace_width;ENV_Substratum_hard;ENV_Rugosity;ENV_Height_vertical;ENV_Coral_live;ENV_Coral_reef_building;BIO_Taxo_Ric;BIO_Taxo_Ent;BIO_Func_Ric;BIO_Func_Ent;BIO_Phyl_Ric;BIO_Phyl_Ent;BIO_qual;ES_totbiom;ES_totbiom_fished
site31_5;31;5;12.15454;-68.2786;Marine park;0;Low shore;310;109.2;5.28;1;2.166667;0;0;8;3.664;2.7713;2.1084;4.9265;2.5282;0.935389431;3799.9973;854.8895901
site32_5;32;5;12.15845;-68.2805;Marine park;0;Low shore;320;92.4;7.755;1.005;1.333333;0.49505;0;15;10.1796;5.3399;4.3483;7.3401;3.9798;0.994803754;4158.880191;970.4391519
site33_5;33;5;12.16195;-68.2833;Marine park;0;Low shore;320;58.8;8.845;1.0725;4.333333;1.309389;84.61538;19;8.763;5.2267;4.0839;7.9911;4.1242;0.984189142;9491.750049;1666.668933
site34_5;34;5;12.16468;-68.2867;No fishing zone;1;Low shore;310;46.2;10.3;1.0295;4.583333;2.266289;20.83333;15;7.9135;3.6515;2.2648;6.157;2.3111;0.662996206;12445.28204;5939.088448
site35_5;35;5;12.16924;-68.2868;No fishing zone;1;Cliff;310;79.8;10.58;1.134;2.916667;10.24833;42.75794;22;15.0643;5.2929;4.3437;7.4391;3.3742;0.821976423;6744.419026;2947.463872
site36_5;36;5;12.17318;-68.2889;No fishing zone;1;Low shore;310;58.8;12.27;1.1565;9.833333;14.24634;65.9141;23;10.3766;5.4349;3.9719;7.7375;2.8999;0.855773529;11685.71468;4759.02966
site37_5;37;5;12.17725;-68.2921;No fishing zone;1;Low shore;310;75.6;8.73;1.021;3.166667;5.569716;48.1668;23;15.8394;4.5448;3.008;7.0451;3.0166;0.882159118;5598.812177;1424.617261
site38_5;38;5;12.18108;-68.2934;No fishing zone;1;Low shore;310;63;8.025;1.0115;6.25;6.538172;52.46753;24;9.2711;5.2888;3.8632;7.9208;2.8444;0.769369123;12722.22533;6090.773451
site39_5;39;5;12.18467;-68.2955;Marine park;0;Low shore;310;88.2;10.87;1.243;9.166667;15.1735;82.24735;21;7.5957;5.4804;3.8192;7.2783;2.6471;0.867908872;13673.23046;5673.258696
site40_5;40;5;12.18893;-68.2982;Marine park;0;Low shore;310;92.4;10.755;1.241;14.83333;17.3516;81.39098;26;13.3085;5.5401;3.5073;7.9271;3.105;0.821596095;9797.257149;2987.96813
site41_5;41;5;12.19229;-68.3001;Marine park;0;Low shore;310;79.8;11.31;1.0975;16.16667;15.48367;45.19231;21;10.9907;4.1845;2.7101;6.3105;2.5318;0.828376606;9438.437076;6399.294726
site42_5;42;5;12.19598;-68.3024;Marine park;0;Cliff;310;79.8;10.75;1.095;9.75;14.85773;77.2346;26;12.5646;4.4143;2.8406;7.1842;2.4664;0.868226256;10734.5662;6088.988365
site43_5;43;5;12.19824;-68.3063;Marine park;0;Cliff;310;29.4;12.14;1.08445;18;5.892249;50;20;9.6186;3.7864;2.1484;6.4557;2.2827;0.782815426;11121.045;6690.450837
site44_5;44;5;12.20042;-68.31;Marine park;0;Cliff;310;46.2;10.795;1.367;20.41667;2.30524;39.83051;22;10.9824;4.3128;2.7542;6.2511;2.4452;0.916886807;9276.278148;5546.830191
site45_5;45;5;12.2038;-68.3135;Marine park;0;Cliff;310;75.6;8.655;1.104;0.833333;5.331347;42.5;25;13.031;6.1776;5.1228;8.4906;3.3229;0.960684347;4555.980282;965.4961171
site46_5;46;5;12.2063;-68.3169;Marine park;0;Low shore;310;79.8;8.07;1.4555;5.666667;4.905638;53.08067;18;8.9933;4.5337;3.4763;6.4603;2.7347;0.766943549;5928.767042;2254.693117
site47_5;47;5;12.20886;-68.3207;Marine park;0;Cliff;320;37.8;7.395;1.3515;8.25;12.41013;99.4382;18;8.5746;4.6929;3.3121;6.6702;2.6688;0.926523162;4299.206747;1812.069975
site48_5;48;5;12.21061;-68.3242;Marine park;0;Cliff;320;84;11.745;1.3435;57.16667;41.35723;88.85847;23;13.4791;5.0773;3.9291;6.862;2.6796;0.760480028;9756.95469;4246.155857
site49_5;49;5;12.21133;-68.3285;Marine park;0;Cliff;320;46.2;14.52;1.522;27.91667;2.253237;42.17687;21;10.9554;5.1408;2.8665;6.8385;2.6184;0.915109041;7287.519359;3819.34806
site50_5;50;5;12.2129;-68.3328;Marine park;0;Cliff;320;58.8;13.53;1.681;41.41667;37.33858;83.86754;18;11.4;5.4547;4.6389;6.9501;2.8309;0.636799833;12052.47074;4964.844113
site51_5;51;5;12.21449;-68.3374;Marine park;0;Cliff;330;75.6;8.245;1.166;6.25;5.574021;50;21;11.3283;5.4257;4.4329;7.3519;2.823;0.575990691;12345.74531;2147.365867
site52_5;52;5;12.2152;-68.3414;Marine park;0;Cliff;330;71.4;14.33;1.3185;12.5;15.1652;12.61682;26;10.9061;5.2603;4.0711;8.1701;2.708;0.679630245;11689.78796;2224.049426
site53_5;53;5;12.21759;-68.3451;Marine park;0;Cliff;330;25.2;14.495;1.624;33.16667;23.04882;66.20388;20;12.9871;5.4039;4.5193;7.4554;3.1067;0.650109725;10742.48404;4544.912327
site55_5;55;5;12.15736;-68.3271;Marine park;0;Low shore;340;109.2;12.41;1.117;1.333333;15.25373;36.14458;20;12.1971;4.1779;3.1037;7.1538;3.0732;0.953685767;4203.563088;1491.574989
site56_5;56;5;12.16127;-68.3249;Marine park;0;Low shore;340;109.2;13.505;1.1345;8.083333;13.53193;91.66667;17;4.9803;4.1284;2.8259;6.0547;2.1886;0.931693669;8762.684939;2604.584558
site57_5;57;5;12.16559;-68.3217;Marine park;0;Cliff;340;33.6;16.005;1.3845;44;25.81399;47.47921;24;10.9781;5.244;3.6054;7.9044;2.8318;0.916257357;21100.50425;10018.93076
site58_5;58;5;12.16704;-68.3174;Marine park;0;Low shore;360;58.8;14.945;1.315;29.16667;41.0956;53.2865;23;7.1471;5.316;3.1515;7.714;2.3315;0.809219716;20917.79558;12549.55111
site59_5;59;5;12.16851;-68.3134;Marine park;0;Low shore;380;84;15.78;1.5035;26.66667;28.1267;17.45084;24;9.7297;4.1825;3.3644;7.0058;2.4795;0.885487643;12885.00142;5474.867673
site60_5;60;5;12.16897;-68.3086;Marine park;0;Low shore;380;58.8;12.45;1.305;13.66667;14.226;15.9204;20;10.7409;7.11;5.5999;7.3794;2.898;0.783676892;6201.515584;2874.247041
site61_5;61;5;12.16856;-68.3033;Marine park;0;Low shore;370;42;11.145;1.1635;15.08333;6.185879;24.09639;22;11.6028;5.2304;3.7731;7.5068;2.8642;0.732751902;11568.65333;2640.010973
