spl_id,ENV_spl_longitude,ENV_spl_latitude,Depth,SST,Chla,Eup,Sal,NPP,Sub,TaxR,TaxE,FunR,FunE,PhyR,PhyE,BIO_qual,TBiom,FBiom
IR_150,-8.216,51.108,106,11.10999365,0.768765986,53.62112045,35.21200072,129.6425629,Sand,27,10.823,5.2566,4.1635,9.9581,2.8026,1,128.624,91.398
IR_151,-8.898,50.843,121,11.01999365,0.536499381,53.59276199,35.42000073,175.2350159,Sand,32,3.4696,5.7597,2.2619,12.4062,1.8249,0.999929956,2084.394,617.918
IR_152,-9.079,50.877,120,11.02999365,0.526614845,53.15719604,35.44000073,186.1569366,Muddy_sand,25,4.8267,5.3368,2.2508,9.8438,1.8124,1,465.256,396.294
IR_153,-9.213,50.756,125,11.02999365,0.607832611,52.99539185,35.38200073,204.8251648,Sand,26,4.9875,5.1104,2.3263,8.8641,1.9075,1,203.272,184.066
IR_154,-9.367,50.826,120,10.98999365,0.581076622,52.92321777,35.38800073,92.98381805,Muddy_sand,25,4.3392,5.4921,2.448,9.5535,1.9077,1,364.126,299.1
IR_155,-9.769,50.818,122,11.15999365,0.662398934,52.16349792,35.23100072,73.06354523,Sand,24,7.0372,5.6061,2.4894,9.1302,1.8944,1,222.928,190.032
IR_156,-9.875,50.755,123,11.23999365,0.690185905,52.15684891,35.20700072,74.79972839,Sand,26,4.4109,5.9304,2.5392,9.9921,2.1747,1,316.774,255.38
IR_157,-9.633,51.458,50,10.78999366,0.891631663,50.5427475,34.86700071,101.2628021,Seabed,27,6.905,6.8871,3.7877,12.4101,3.5584,1,145.034,85.126
IR_158,-9.787,51.353,85,11.15999365,0.759512782,51.33687973,35.11900072,245.6072235,Rock_or_other_hard_substrata,36,7.6057,6.4856,3.0511,13.308,2.3943,0.996588503,352.338,211.488
IR_159,-10.085,51.488,71,11.06999365,0.763202429,50.57821274,35.10500072,248.5516968,Sand,27,6.5815,5.8075,2.9396,10.8068,2.7261,1,127.9841379,100.6344828
IR_160,-9.834,51.599,57,10.90999365,1.942198277,48.61905289,34.50900069,277.6196289,Sandy_mud,30,8.8193,6.5894,3.6887,11.9678,3.4761,1,214.814,149.74
IR_161,-9.658,51.657,42,10.75999366,7.791948318,,,,Sandy_mud,20,4.8981,6.2312,2.8144,9.1109,3.0014,1,97.516,74.29
IR_162,-11.835,52.785,185,11.35999364,0.457265675,52.27862167,35.45500073,183.9873047,Seabed,27,8.3708,5.2109,3.64,9.0637,3.0109,1,245.576,97.922
IR_163,-11.643,53.115,160,11.18999365,0.406713843,53.0175972,35.43200073,160.0494537,Seabed,24,5.8632,5.242,3.5445,8.6209,2.6147,1,609.696,224.378
