spl_id,ENV_spl_longitude,ENV_spl_latitude,Depth,SST,Chla,Eup,Sal,NPP,Sub,TaxR,TaxE,FunR,FunE,PhyR,PhyE,BIO_qual,TBiom,FBiom
IR_35,-8.047,55.761,107,13.4799936,0.731911898,28.98134995,35.15900072,421.9895325,Muddy_sand,23,5.0399,5.7156,2.6594,8.2549,2.2905,1,923.058,887.688
IR_36,-8.265,55.594,85,13.66999359,0.340082794,35.56064606,35.19300072,317.0029297,Coarse_substrate,15,2.262,4.3524,1.5525,5.5009,1.6132,0.999982002,10667.976,10636.624
IR_37,-8.587,55.432,100,13.73999359,0.272879928,32.65067291,35.18600072,356.0003967,Muddy_sand,17,4.3735,5.1662,2.5614,6.0722,2.2604,1,1368.94875,1342.7025
IR_38,-8.869,55.481,90,13.48999359,0.39531672,32.23099136,35.15200072,425.9884033,Coarse_substrate,17,2.9656,4.0538,1.9244,5.7409,1.7614,0.999921916,3397.162285,3346.099127
IR_39,-9.127,55.323,101,13.59999359,0.49805513,31.98107338,35.16700072,528.9804077,Coarse_substrate,17,2.9714,5.1003,1.7284,6.461,1.521,1,836.382871,789.3457286
IR_40,-9.013,55.118,96,14.03999358,0.356895983,52.29989243,35.17000072,556.9997559,Sand,21,9.2372,5.2918,3.6171,7.3031,2.754,0.999738699,554.915,406.7775
IR_41,-9.415,54.993,94,13.83999359,0.500960231,47.53039551,35.25200072,674.9827271,Coarse_substrate,17,3.4778,4.737,2.2676,5.995,2.0848,0.999820493,690.782,673.066
IR_42,-9.709,54.977,110,13.54999359,0.472138822,47.73063278,35.20000072,657.9755859,Coarse_substrate,21,2.7494,5.6141,1.5314,8.2569,1.3768,0.999746797,1706.138,1564.77
IR_43,-10.385,52.924,115,12.65999361,1.285401344,53.60466766,35.04500071,991.8667603,Sandy_mud,23,6.5984,6.315,3.1918,9.2553,3.2261,1,286.2130344,261.573904
IR_44,-10.693,53.18,114,12.55999362,0.46806705,49.15909576,34.98300071,579.9472656,Sand,24,3.3107,5.6108,2.3726,9.3676,1.9174,1,933.642,299.908
